Date,open,high,low,close,adjclose,volume,dividends,stock_splits,capital_gains
1993-01-29,43.96875,43.96875,43.75,43.9375,24.175373077392578,1003200,0.0,0.0,0.0
1993-02-01,43.96875,44.25,43.96875,44.25,24.347320556640625,480500,0.0,0.0,0.0
1993-02-02,44.21875,44.375,44.125,44.34375,24.398908615112305,201300,0.0,0.0,0.0
1993-02-03,44.40625,44.84375,44.375,44.8125,24.656824111938477,529400,0.0,0.0,0.0
1993-02-04,44.96875,45.09375,44.46875,45.0,24.759990692138672,531500,0.0,0.0,0.0
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.742794036865234,492100,0.0,0.0,0.0
1993-02-08,44.96875,45.125,44.90625,44.96875,24.742794036865234,596100,0.0,0.0,0.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.570850372314453,122100,0.0,0.0,0.0
1993-02-10,44.65625,44.75,44.53125,44.71875,24.605234146118164,379600,0.0,0.0,0.0
1993-02-11,44.78125,45.125,44.78125,44.9375,24.72559928894043,19500,0.0,0.0,0.0
1993-02-12,44.875,44.875,44.59375,44.59375,24.536457061767578,42500,0.0,0.0,0.0
1993-02-16,44.46875,44.46875,43.40625,43.46875,23.91746711730957,374800,0.0,0.0,0.0
1993-02-17,43.46875,43.53125,43.28125,43.4375,23.90026092529297,210900,0.0,0.0,0.0
1993-02-18,43.9375,43.9375,42.8125,43.40625,23.883068084716797,378100,0.0,0.0,0.0
1993-02-19,43.40625,43.5625,43.34375,43.5625,23.969051361083984,34900,0.0,0.0,0.0
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.055015563964844,513600,0.0,0.0,0.0
1993-02-23,43.84375,43.875,43.46875,43.6875,24.037817001342773,373700,0.0,0.0,0.0
1993-02-24,43.71875,44.25,43.71875,44.25,24.347320556640625,26300,0.0,0.0,0.0
1993-02-25,44.21875,44.375,44.125,44.34375,24.398908615112305,44500,0.0,0.0,0.0
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.43329620361328,66200,0.0,0.0,0.0
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.364521026611328,66500,0.0,0.0,0.0
1993-03-02,44.3125,44.9375,44.25,44.9375,24.72559928894043,182400,0.0,0.0,0.0
1993-03-03,45.0,45.15625,44.9375,45.125,24.828763961791992,280100,0.0,0.0,0.0
1993-03-04,45.1875,45.1875,44.875,44.875,24.69121742248535,89500,0.0,0.0,0.0
1993-03-05,44.9375,45.125,44.71875,44.75,24.6224308013916,40000,0.0,0.0,0.0
1993-03-08,44.84375,45.75,44.84375,45.75,25.172666549682617,50800,0.0,0.0,0.0
1993-03-09,45.65625,45.6875,45.5,45.59375,25.08667755126953,169300,0.0,0.0,0.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.138280868530273,194400,0.0,0.0,0.0
1993-03-11,45.71875,45.84375,45.5,45.5625,25.069496154785156,70900,0.0,0.0,0.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.811582565307617,643600,0.0,0.0,0.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,24.931930541992188,310800,0.0,0.0,0.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,24.931930541992188,30800,0.0,0.0,0.0
1993-03-17,45.25,45.25,44.96875,45.03125,24.777198791503906,21800,0.0,0.0,0.0
1993-03-18,45.21875,45.5,45.21875,45.3125,24.931930541992188,59300,0.0,0.0,0.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,24.894197463989258,66900,0.213,0.0,0.0
1993-03-22,44.59375,44.875,44.5625,44.78125,24.755998611450195,183400,0.0,0.0,0.0
1993-03-23,44.90625,44.9375,44.8125,44.875,24.807823181152344,55200,0.0,0.0,0.0
1993-03-24,44.8125,45.0625,44.59375,44.875,24.807823181152344,37200,0.0,0.0,0.0
1993-03-25,44.90625,45.25,44.84375,45.15625,24.96329689025879,110100,0.0,0.0,0.0
1993-03-26,45.125,45.15625,44.875,44.90625,24.825111389160156,101500,0.0,0.0,0.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,24.928762435913086,87100,0.0,0.0,0.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,24.997852325439453,56000,0.0,0.0,0.0
1993-03-31,45.34375,45.46875,45.1875,45.1875,24.9805965423584,111600,0.0,0.0,0.0
1993-04-01,45.25,45.25,44.9375,45.03125,24.894197463989258,129500,0.0,0.0,0.0
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.375940322875977,59400,0.0,0.0,0.0
1993-04-05,44.4375,44.4375,44.1875,44.3125,24.49686050415039,172200,0.0,0.0,0.0
1993-04-06,44.40625,44.40625,44.0625,44.1875,24.427759170532227,129700,0.0,0.0,0.0
1993-04-07,44.25,44.34375,44.15625,44.34375,24.514148712158203,28000,0.0,0.0,0.0
1993-04-08,44.53125,44.53125,44.09375,44.28125,24.479591369628906,180800,0.0,0.0,0.0
1993-04-12,44.71875,44.9375,44.65625,44.90625,24.825111389160156,348500,0.0,0.0,0.0
1993-04-13,44.875,45.15625,44.84375,45.0,24.876924514770508,146100,0.0,0.0,0.0
1993-04-14,45.03125,45.0625,44.90625,44.9375,24.842384338378906,119600,0.0,0.0,0.0
1993-04-15,44.90625,45.03125,44.75,44.9375,24.842384338378906,148600,0.0,0.0,0.0
1993-04-16,44.96875,45.03125,44.875,44.9375,24.842384338378906,47900,0.0,0.0,0.0
1993-04-19,44.9375,45.0625,44.71875,44.75,24.73871612548828,157000,0.0,0.0,0.0
1993-04-20,44.6875,44.75,44.25,44.53125,24.617799758911133,279500,0.0,0.0,0.0
1993-04-21,44.625,44.625,44.375,44.5,24.600515365600586,67900,0.0,0.0,0.0
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.289552688598633,97700,0.0,0.0,0.0
1993-04-23,43.84375,43.96875,43.6875,43.75,24.185897827148438,106000,0.0,0.0,0.0
1993-04-26,43.78125,43.9375,43.28125,43.40625,23.995878219604492,62600,0.0,0.0,0.0
1993-04-27,43.34375,43.875,43.34375,43.875,24.255014419555664,156800,0.0,0.0,0.0
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.20318603515625,85900,0.0,0.0,0.0
1993-04-29,43.875,43.96875,43.625,43.96875,24.306840896606445,85000,0.0,0.0,0.0
1993-04-30,44.125,44.28125,44.03125,44.03125,24.341384887695312,88500,0.0,0.0,0.0
1993-05-03,44.09375,44.3125,43.90625,44.3125,24.49686050415039,80500,0.0,0.0,0.0
1993-05-04,44.40625,44.625,44.34375,44.46875,24.58324432373047,149100,0.0,0.0,0.0
1993-05-05,44.46875,44.75,44.46875,44.59375,24.652347564697266,109000,0.0,0.0,0.0
1993-05-06,44.53125,44.5625,44.40625,44.4375,24.56597328186035,54700,0.0,0.0,0.0
1993-05-07,44.46875,44.46875,44.28125,44.34375,24.514148712158203,68000,0.0,0.0,0.0
1993-05-10,44.40625,44.6875,44.40625,44.4375,24.56597328186035,113900,0.0,0.0,0.0
1993-05-11,44.4375,44.625,44.3125,44.625,24.66963005065918,42600,0.0,0.0,0.0
1993-05-12,44.4375,44.59375,44.4375,44.5625,24.63507080078125,31000,0.0,0.0,0.0
1993-05-13,44.375,44.375,44.0,44.03125,24.341384887695312,129100,0.0,0.0,0.0
1993-05-14,44.03125,44.15625,43.96875,44.0,24.324106216430664,63500,0.0,0.0,0.0
1993-05-17,44.125,44.15625,43.9375,44.15625,24.410490036010742,34000,0.0,0.0,0.0
1993-05-18,44.1875,44.21875,43.96875,44.125,24.393217086791992,105200,0.0,0.0,0.0
